week,team_id,team,overall_eff,off_eff,def_eff,school,conference,color,logo
7,2005,Air Force,60.629999999999995,64.96600000000001,47.601,Air Force,Mountain West,#004a7b,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
7,265,Washington St,64.06500000000001,44.914,72.395,Washington State,Pac-12,#94022a,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png
7,5,UAB,55.732000000000006,48.039,63.17700000000001,UAB,Conference USA,#003b28,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png
7,256,James Madison,71.025,60.539,80.655,James Madison,Sun Belt,#450084,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png
7,235,Memphis,53.507000000000005,50.77700000000001,51.727999999999994,Memphis,American Athletic,#003087,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png
7,24,Stanford,49.866,51.817,52.327,Stanford,Pac-12,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png
7,248,Houston,49.393,45.267,54.323,Houston,American Athletic,#C90822,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
7,151,East Carolina,52.522000000000006,65.027,42.308,East Carolina,American Athletic,#4b1869,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
7,68,Boise St,45.472,28.723,69.126,Boise State,Mountain West,#09347A,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
7,150,Duke,61.389,72.059,42.337,Duke,ACC,#001A57,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
7,2649,Toledo,58.965,56.042,59.348,Toledo,Mid-American,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
7,6,South Alabama,70.176,63.105999999999995,66.526,South Alabama,Sun Belt,#003E7E,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png
7,2636,UTSA,55.498999999999995,63.641000000000005,41.914,UT San Antonio,Conference USA,#002A5C,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
7,9,Arizona St,45.806999999999995,47.056,45.455,Arizona State,Pac-12,#942139,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
7,2653,Troy,57.007,44.938,66.714,Troy,Sun Belt,#AE0210,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
7,158,Nebraska,38.826,46.383,34.525,Nebraska,Big Ten,#F20017,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png
7,25,California,48.082,42.870999999999995,57.355999999999995,California,Pac-12,#031522,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
7,276,Marshall,45.586,25.668999999999997,73.837,Marshall,Sun Belt,#00ae42,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png
7,84,Indiana,46.882000000000005,39.384,54.56100000000001,Indiana,Big Ten,#7D110C,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
7,2335,Liberty,51.713,37.145,65.09700000000001,Liberty,FBS Independents,#071740,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
7,23,San José St,53.061,47.236,66.024,San José State,Mountain West,#005893,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png
7,258,Virginia,39.163,31.548,54.383,Virginia,ACC,#f84c1e,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png
7,309,Louisiana,45.891999999999996,27.288,59.336,Louisiana,Sun Belt,#ce2842,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png
7,59,Georgia Tech,53.884,39.415,72.41300000000001,Georgia Tech,ACC,#00223e,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
7,12,Arizona,45.052,71.02199999999999,22.261,Arizona,Pac-12,#002449,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
7,290,Georgia So,43.375,59.831999999999994,23.055999999999997,Georgia Southern,Sun Belt,#003775,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png
7,164,Rutgers,42.812,22.259999999999998,61.928000000000004,Rutgers,Big Ten,#d21034,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
7,2226,FAU,41.848,39.202,53.92400000000001,Florida Atlantic,Conference USA,#004B85,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
7,202,Tulsa,44.396,58.227,39.512,Tulsa,American Athletic,#004371,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png
7,324,Coastal Car,43.321,55.897,37.279,Coastal Carolina,Sun Belt,#007073,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png
7,2084,Buffalo,44.442,46.225,44.551,Buffalo,Mid-American,#041A9B,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
7,278,Fresno St,42.917,38.875,44.565,Fresno State,Mountain West,#c41230,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png
7,2426,Navy,40.636,29.798000000000002,57.731,Navy,American Athletic,#131630,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
7,2572,Southern Miss,47.771,21.834999999999997,66.39699999999999,Southern Mississippi,Sun Belt,#FFAA3C,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png
7,349,Army,31.423000000000002,59.907,17.405,Army,FBS Independents,#ce9c00,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
7,2247,Georgia St,36.015,28.498,55.346,Georgia State,Sun Belt,#1e539a,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
7,259,Virginia Tech,41.108,26.212000000000003,61.114999999999995,Virginia Tech,ACC,#74232D,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png
7,295,Old Dominion,45.118,38.797,51.49399999999999,Old Dominion,Sun Belt,#00507d,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png
7,2032,Arkansas St,44.699,51.769,27.04,Arkansas State,Sun Belt,#e81018,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
7,103,Boston College,31.616,27.057,50.946000000000005,Boston College,ACC,#88001a,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
7,2393,MTSU,46.400999999999996,32.174,52.32599999999999,Middle Tennessee,Conference USA,#0079C2,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
7,249,North Texas,43.589,59.804,30.219,North Texas,Conference USA,#00853D,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png
7,238,Vanderbilt,42.196,42.085,41.241,Vanderbilt,SEC,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
7,2309,Kent State,38.564,53.907000000000004,30.720999999999997,Kent State,Mid-American,#002445,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
7,242,Rice,48.491,33.464,61.60099999999999,Rice,Conference USA,#003D7D,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png
7,2751,Wyoming,34.929,23.355999999999998,39.015,Wyoming,Mountain West,#533B22,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
7,77,Northwestern,22.668,20.794,36.042,Northwestern,Big Ten,#372286,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
7,2117,C Michigan,23.319000000000003,19.945,41.661,Central Michigan,Mid-American,#6a0032,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
7,2348,Louisiana Tech,34.412,37.985,36.707,Louisiana Tech,Conference USA,#002d65,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
7,21,San Diego St,29.557,10.387,44.454,San Diego State,Mountain West,#BF2C37,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png
7,2459,N Illinois,35.38,50.06699999999999,23.334,Northern Illinois,Mid-American,#F1122C,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png
7,2439,UNLV,37.385000000000005,44.375,33.78,UNLV,Mountain West,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
7,326,Texas St,36.264,20.396,65.28699999999999,Texas State,Sun Belt,#4e1719,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png
7,58,South Florida,23.798,39.791,19.114,South Florida,American Athletic,#004A36,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png
7,328,Utah State,27.750000000000004,21.484,42.452,Utah State,Mountain West,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
7,193,Miami OH,39.151,24.585,50.17700000000001,Miami (OH),Mid-American,#a4000c,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png
7,195,Ohio,36.911,50.86000000000001,25.285999999999998,Ohio,Mid-American,#295A29,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
7,2433,UL Monroe,28.338,42.063,32.72,Louisiana Monroe,Sun Belt,#231F20,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
7,38,Colorado,21.009,13.774000000000001,43.646,Colorado,Pac-12,#d1c57e,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png
7,2050,Ball State,27.589999999999996,21.46,45.262,Ball State,Mid-American,#DA0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
7,2199,E Michigan,30.329,48.012,23.029,Eastern Michigan,Mid-American,#00331b,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
7,2638,UTEP,23.655,20.814,36.165000000000006,UTEP,Conference USA,#ff8200,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
7,2711,W Michigan,19.767000000000003,22.400000000000002,27.681,Western Michigan,Mid-American,#532e1f,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png
7,2440,Nevada,20.021,16.409000000000002,34.801,Nevada,Mountain West,#153E5F,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
7,167,New Mexico,25.655,11.415000000000001,61.822,New Mexico,Mountain West,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
7,218,Temple,25.801000000000002,10.796,54.532000000000004,Temple,American Athletic,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png
7,41,UConn,24.741,24.198,38.743,Connecticut,FBS Independents,#001d40,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png
7,2429,Charlotte,18.133,46.135999999999996,9.06,Charlotte,Conference USA,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
7,189,Bowling Green,23.333000000000002,26.686,29.015,Bowling Green,Mid-American,#2b1000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
7,36,Colorado St,13.839000000000002,5.002,42.058,Colorado State,Mountain West,#004537,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png
7,62,Hawai'i,12.645999999999999,17.993000000000002,15.305,Hawai'i,Mountain West,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
